category,mismatch_seed,noise_seed,repeat_index,frame_index,ideal_vid_v,commanded_vid_v,code,valid,invalid_v,timeout_v,complete_time_s,measurement_stem,measurement_maxstep_ps,measurement_solver_profile
MC200_MAIN,3,100003,,22,-0.6346687696089611,-0.6345965796509633,82,True,0.0,0.0,1.13755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,23,-1.3528194814245906,-1.3528590184947886,28,True,0.0,0.0,1.18755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,24,-1.4568184316989683,-1.456837938787296,20,True,0.0,0.0,1.23755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,25,-0.8994522712850329,-0.8993677940141576,62,True,0.0,0.0,1.28755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,26,0.0662464156905973,0.06626743672403511,135,True,0.0,0.0,1.33755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,27,1.0018706149383227,1.00194376824474,205,True,0.0,0.0,1.38755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,28,1.482666500837955,1.4826375414340234,241,True,0.0,0.0,1.43755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,29,1.2903627930586585,1.2903451992988848,227,True,0.0,0.0,1.48755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,30,0.5122613544914112,0.5121970473095393,168,True,0.0,0.0,1.53755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
MC200_MAIN,3,100003,,31,-0.4983960293074411,-0.4984130697409369,92,True,0.0,0.0,1.58755e-05,fast64_s003_n100003_main_robust_retry,50.0,ROBUST_GEAR
