baseline_abs_offset_rank_ascending,mismatch_seed,baseline_cap_x1_offset_lsb,offset_lsb,cap_x1div3_minus_baseline_offset_lsb,offset_v,t1_measured_v,lower_v,upper_v,width_lsb,bisection_rounds,elapsed_s,cpu_affinity,result_sha256
26,49,0.08789062499998328,0.33398437499999667,0.24609375000001338,0.004435729980468706,-1.6822830200195313,-1.68236083984375,-1.6822052001953125,0.011718749999996657,7,366.830431118,4,932528396c6a9a5520e67e74c7f56bc167c9b8d4e0dd2cbb6925d380f21b4f3d
91,50,0.4746093750000234,0.7324218750000168,0.25781249999999334,0.009727478027343972,-1.676991271972656,-1.677069091796875,-1.6769134521484375,0.011718749999996657,7,0.19737263600109145,2,8037a81731e6c1480b18acd555a929e74e79b5a455c2b154c65f7b33ea9a7f96
65,51,0.27539062499999667,0.52148437500001,0.24609375000001332,0.006925964355468883,-1.6797927856445312,-1.67987060546875,-1.6797149658203125,0.011718749999996657,7,365.8939332089976,2,0018a178ac26bbd57ee8a7fb15f7df0d7e6148327384b20365e278c21500ed8c
89,52,0.46289062500001005,0.70898437499999,0.24609374999997996,0.009416198730468617,-1.6773025512695314,-1.67738037109375,-1.6772247314453126,0.011718749999996657,7,365.448761656,12,ca30e0292962ad38c006854db52f101b5523aeeae78e83d68579085a7cef3685
15,53,0.052734375000010034,0.29882812499998995,0.2460937499999799,0.003968811035156117,-1.682749938964844,-1.6828277587890625,-1.682672119140625,0.011718749999996657,7,364.7044856700013,6,d1434bb9d56a58094942daacdd7c1dfe8e412bb9e51469d6d4a6e3fdf9253041
90,54,0.46289062500001005,0.70898437499999,0.24609374999997996,0.009416198730468617,-1.6773025512695314,-1.67738037109375,-1.6772247314453126,0.011718749999996657,7,366.4265271139993,14,695c43a4802ea14871e1e70b1da73d92c45648b593227bbe4f6e7000aa9835a5
16,55,0.052734375000010034,0.29882812499998995,0.2460937499999799,0.003968811035156117,-1.682749938964844,-1.6828277587890625,-1.682672119140625,0.011718749999996657,7,366.21616198300035,0,512a787849edcc41551693e3dfd08df136a8ff77f1f291cb78ec8bcfbb763906
97,56,0.6035156250000033,0.8515625000000134,0.2480468750000101,0.011309814453125178,-1.6754089355468749,-1.6755126953125,-1.6753051757812498,0.01562500000000669,8,0.2641235270020843,10,768bd3d21bc048e6609e2b023fc79bd780cb9a430f9d1aaa1992468b8d7dbc89
4,57,-0.005859374999989969,0.24023437499998998,0.24609374999997996,0.0031906127929686168,-1.6835281372070314,-1.68360595703125,-1.6834503173828126,0.011718749999996657,7,366.64541388900034,10,f2cfe73e1d65d09a37cf1f35380eaea3dcbf7b2ebb68b571cbe6ab4ac7b02dc8
27,58,0.08789062499998328,0.33398437499999667,0.24609375000001338,0.004435729980468706,-1.6822830200195313,-1.68236083984375,-1.6822052001953125,0.011718749999996657,7,367.2323411770012,8,3073f624597be1f2740a46c18897400f2f74ca790d87380f0c0b07eff7737a2c
