target_transition,lower_v,transition_v,upper_v,inl_ep_lsb
191,0.8177437849870818,0.8178216048113005,0.8178994246355193,-0.08806397928994082
192,0.8266409806379185,0.8267188004621372,0.8267966202863559,-0.41683616863905154
193,0.8442539966012551,0.8443318164254738,0.8444096362496927,-0.08806397928994082
194,0.8576647420567793,0.8577425618809981,0.8578203817052168,-0.07632211538461035
195,0.8712311271607409,0.8713089469849596,0.8713867668091784,-0.05283838757396617
196,0.8843305933193901,0.8844084131436089,0.8844862329678276,-0.06458025147928825
197,0.8975856991264768,0.8976635189506955,0.8977413387749142,-0.06458025147928825
198,0.9109964445820005,0.9110742644062192,0.9111520842304379,-0.05283838757396617
199,0.924562829685962,0.9246406495101809,0.9247184693343996,-0.029354659763313605
200,0.9370397372508613,0.93711755707508,0.9371953768992989,-0.08806397928994082
201,0.950294843057948,0.9503726628821667,0.9504504827063855,-0.08806397928994082
202,0.9637055885134722,0.9637834083376909,0.9638612281619097,-0.07632211538461035
203,0.9772719736174338,0.9773497934416525,0.9774276132658712,-0.05283838757396617
204,0.9902158001276455,0.9902936199518643,0.990371439776083,-0.07632211538461035
205,1.0036265455831694,1.0037043654073883,1.0037821852316071,-0.06458025147929664
206,1.0170372910386938,1.0171151108629126,1.0171929306871312,-0.05283838757395779
207,1.030603676142655,1.0306814959668738,1.0307593157910926,-0.029354659763313605
208,1.0426136647622417,1.0426914845864603,1.0427693044106792,-0.12328957100592385
209,1.0563356895146407,1.0564135093388596,1.0564913291630782,-0.08806397928994082
210,1.0695907953217274,1.0696686151459462,1.0697464349701649,-0.08806397928994082
211,1.083157180425689,1.0832350002499078,1.0833128200741267,-0.06458025147929664
212,1.0962566465843382,1.0963344664085568,1.0964122862327756,-0.07632211538463547
213,1.1095117523914249,1.1095895722156435,1.1096673920398623,-0.07632211538463547
214,1.122922497846949,1.1230003176711678,1.1230781374953867,-0.06458025147929664
215,1.1364888829509108,1.1365667027751294,1.1366445225993482,-0.04109652366865245
216,1.149121430164247,1.1491992499884658,1.1492770698126844,-0.08806397928994082
217,1.1622208963228962,1.1622987161471148,1.1623765359713336,-0.09980584319527966
218,1.1756316417784203,1.1757094616026391,1.1757872814268577,-0.08806397928994082
219,1.1891980268823819,1.1892758467066007,1.1893536665308195,-0.06458025147929664
220,1.202297493041031,1.2023753128652497,1.2024531326894685,-0.07632211538463547
221,1.2155525988481177,1.2156304186723363,1.2157082384965552,-0.07632211538463547
222,1.2289633443036418,1.2290411641278607,1.2291189839520795,-0.06458025147929664
223,1.2425297294076036,1.2426075492318223,1.242685369056041,-0.04109652366865245
224,1.254384078378753,1.2544618982029716,1.2545397180271904,-0.14677329881656803
225,1.2688843013733395,1.2689621211975584,1.269039941021777,-0.05283838757395779
226,1.2822950468288632,1.2823728666530818,1.2824506864773006,-0.04109652366865245
227,1.295861431932825,1.2959392517570438,1.2960170715812624,-0.01761279585797476
228,1.3088052584430365,1.3088830782672551,1.308960898091474,-0.04109652366865245
229,1.3222160038985606,1.3222938237227795,1.3223716435469983,-0.029354659763313605
230,1.335626749354085,1.3357045691783038,1.3357823890025224,-0.01761279585797476
231,1.3491931344580466,1.3492709542822654,1.349348774106484,0.005870931952669422
232,1.3616700420229457,1.3617478618471646,1.3618256816713832,-0.05283838757395779
233,1.3749251478300324,1.3750029676542512,1.3750807874784698,-0.05283838757395779
234,1.3883358932855565,1.3884137131097751,1.388491532933994,-0.04109652366865245
235,1.4019022783895179,1.4019800982137367,1.4020579180379553,-0.01761279585797476
236,1.4148461048997294,1.414923924723948,1.4150017445481669,-0.04109652366865245
237,1.4282568503552535,1.4283346701794724,1.4284124900036912,-0.029354659763313605
238,1.4416675958107779,1.4417454156349967,1.4418232354592153,-0.01761279585797476
239,1.4552339809147394,1.4553118007389583,1.455389620563177,0.005870931952669422
240,1.467243969534326,1.4673217893585448,1.4673996091827635,-0.08806397928994082
241,1.4809659942867253,1.481043814110944,1.4811216339351627,-0.05283838757395779
242,1.494221100093812,1.4942989199180308,1.4943767397422494,-0.05283838757395779
243,1.5077874851977735,1.5078653050219923,1.5079431248462112,-0.029354659763313605
244,1.5208869513564223,1.5209647711806409,1.5210425910048597,-0.04109652366865245
245,1.534142057163509,1.5342198769877275,1.5342976968119464,-0.04109652366865245
246,1.547552802619033,1.547630622443252,1.5477084422674707,-0.029354659763313605
247,1.5611191877229948,1.5611970075472135,1.5612748273714323,-0.005870931952669422
248,1.5737517349363315,1.5738295547605503,1.573907374584769,-0.05283838757395779
249,1.5870068407434181,1.587084660567637,1.5871624803918556,-0.05283838757395779
250,1.6002619465505048,1.6003397663747236,1.6004175861989423,-0.05283838757395779
251,1.613983971302904,1.614061791127123,1.6141396109513415,-0.01761279585797476
252,1.6269277978131156,1.6270056176373342,1.627083437461553,-0.04109652366865245
253,1.6401829036202018,1.6402607234444204,1.6403385432686393,-0.04109652366865245
254,1.653593649075726,1.6536714688999448,1.6537492887241636,-0.029354659763313605
255,1.6672119140625,1.667315673828125,1.66741943359375,-1.675162825228592e-14
