bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
16467,502532.958984375,6.696251332872036e-11,-103.34036101266415,noise,,0,0
16468,502563.4765625,7.332353284602084e-39,-382.94624465289985,noise,,0,0
16469,502593.994140625,3.91374009974477e-12,-115.67275865063992,noise,,0,0
16470,502624.51171875,4.575635934783866e-39,-384.99416385023596,noise,,0,0
16471,502655.029296875,2.791054817043137e-10,-97.14099480863497,noise,,0,0
16472,502685.546875,1.315732891278329e-40,-400.40700115579176,noise,,0,0
16473,502716.064453125,1.9121273656757983e-11,-108.78351030089766,noise,,0,0
16474,502746.58203125,2.6594443215891436e-39,-387.3507694477653,noise,,0,0
16475,502777.099609375,4.167616623905521e-12,-115.39980085404773,noise,,0,0
16476,502807.6171875,1.704822847339236e-37,-369.28188590110216,noise,,0,0
16477,502838.134765625,5.406318869968964e-12,-114.26966189861577,noise,,0,0
16478,502868.65234375,1.4367200338994195e-40,-400.02495699402607,noise,,0,0
16479,502899.169921875,1.3307597222611543e-09,-90.3576819936861,noise,,0,0
16480,502929.6875,9.614216375984308e-40,-391.76953955029234,noise,,0,0
16481,502960.205078125,1.5573372637014198e-12,-119.6748517164516,noise,,0,0
16482,502990.72265625,4.415326836888299e-39,-385.1490499009554,noise,,0,0
16483,503021.240234375,2.3484657410096172e-11,-107.89083617935871,noise,,0,0
16484,503051.7578125,1.5367624271351968e-38,-379.7326111333324,noise,,0,0
16485,503082.275390625,1.1559655658932623e-10,-100.96922949656219,noise,,0,0
16486,503112.79296875,1.6631773287438437e-39,-389.3892929072379,noise,,0,0
16487,503143.310546875,1.0840988946043328e-10,-101.24798945497292,noise,,0,0
16488,503173.828125,2.1031794705984465e-40,-398.3699151317709,noise,,0,0
16489,503204.345703125,2.1108948441561495e-11,-108.35401247958389,noise,,0,0
16490,503234.86328125,3.809956305566995e-37,-365.7894785208885,noise,,0,0
16491,503265.380859375,1.8232145669760893e-11,-108.99030065014554,noise,,0,0
16492,503295.8984375,1.9488132496534273e-39,-388.7009762343463,noise,,0,0
16493,503326.416015625,1.0087915257035323e-10,-101.56066421778584,noise,,0,0
16494,503356.93359375,1.7267973684460148e-39,-389.22626468951194,noise,,0,0
16495,503387.451171875,6.559779202416558e-11,-103.42978625519635,noise,,0,0
16496,503417.96875,1.6047773529792094e-39,-389.54453060245714,noise,,0,0
16497,503448.486328125,5.197582974338164e-11,-104.44066415946284,noise,,0,0
16498,503479.00390625,4.1409637922096906e-38,-375.4276641396094,noise,,0,0
16499,503509.521484375,1.7108418111088964e-11,-109.26657991694378,noise,,0,0
16500,503540.0390625,9.852841346044678e-41,-401.66306357410735,noise,,0,0
16501,503570.556640625,5.616888852207345e-08,-74.10372017012155,noise,,0,0
16502,503601.07421875,1.3925951576963703e-39,-390.16042966370344,noise,,0,0
16503,503631.591796875,1.1182820078148792e-10,-101.11316509558455,noise,,0,0
16504,503662.109375,1.040379337871467e-40,-401.42676128652846,noise,,0,0
16505,503692.626953125,1.0380467509121022e-11,-111.43650933651485,noise,,0,0
16506,503723.14453125,8.43926708360232e-39,-382.33563115557956,noise,,0,0
16507,503753.662109375,7.56768248923044e-11,-102.8090494463803,noise,,0,0
16508,503784.1796875,5.210561668307561e-41,-404.4298330684504,noise,,0,0
