code,transition_dnl_lsb,ramp_hist_dnl_lsb,ramp_hist_inl_lsb,sine_count,sine_expected_count,sine_corrected_dnl_lsb,sine_residual_sigma,sine_valid_for_cdf_check
205,-6.661338147750939e-15,0.0,0.0,1016,1015.6998673424823,0.00029549344955892565,0.009435687433075568,True
206,-6.661338147750939e-15,0.0,0.0,1028,1027.646679450525,0.00034381520082749084,0.011043326452576236,True
207,-6.661338147750939e-15,0.0,0.0,1040,1040.1868788116262,-0.00017965888191140422,-0.0058058756782351645,True
208,2.6867397195928788e-14,0.0,0.0,1053,1053.365540144412,-0.0003470211721203764,-0.011285474918336431,True
209,-6.661338147750939e-15,0.0,0.0,1067,1067.2327508543967,-0.00021808818574053923,-0.007139167302186389,True
210,-6.661338147750939e-15,0.0,0.0,1082,1081.8443478398258,0.00014387666810389277,0.004742100602335383,True
211,-6.661338147750939e-15,0.0,0.0,1098,1097.2627911072632,0.0006718617442527108,0.022302115749753246,True
212,-6.661338147750939e-15,0.0,0.0,1113,1113.5582052561513,-0.0005012807175380773,-0.016763389735812977,True
213,2.6867397195928788e-14,0.0,0.0,1131,1130.8096283183258,0.00016834989454173055,0.005673438231595795,True
214,-6.661338147750939e-15,0.0,0.0,1149,1149.10651855779,-9.269685278934237e-05,-0.0031491916366069043,True
215,-6.661338147750939e-15,0.0,0.0,1169,1168.5505846403248,0.00038459213112584933,0.013176324643590339,True
216,-6.661338147750939e-15,0.0,0.0,1189,1189.2580244955607,-0.00021696258528092205,-0.007499119199971379,True
217,-6.661338147750939e-15,0.0,0.0,1211,1211.3622852672415,-0.00029907259921135854,-0.010433245049897464,True
218,2.6867397195928788e-14,0.0,0.0,1235,1235.0174939893477,-1.416497291162333e-05,-0.000498973806960657,True
219,-6.661338147750939e-15,0.0,0.0,1261,1260.4027604975272,0.0004738481390162974,0.016863216898697103,True
220,-6.661338147750939e-15,0.0,0.0,1287,1287.727627328335,-0.0005650475402509958,-0.02032667364271984,True
221,-6.661338147750939e-15,0.0,0.0,1318,1317.239046314091,0.0005776883763339846,0.0210193757562333,True
222,-6.661338147750939e-15,0.0,0.0,1349,1349.2304144209193,-0.00017077470123449956,-0.006289079981548295,True
223,2.6867397195928788e-14,0.0,0.0,1384,1384.053427915438,-3.860249493292667e-05,-0.0014399298061129582,True
224,-6.661338147750939e-15,0.0,0.0,1422,1422.133856294764,-9.412355536819739e-05,-0.003559178705869506,True
225,-6.661338147750939e-15,0.0,0.0,1464,1463.9928660156438,4.8729638797428976e-06,0.00018697294615337278,True
226,-6.661338147750939e-15,0.0,0.0,1510,1510.2763599526952,-0.00018298634609092979,-0.007131839385967053,True
227,-6.661338147750939e-15,0.0,0.0,1562,1561.7961561425473,0.00013051886230552867,0.0051734831498868135,True
228,2.6867397195928788e-14,0.0,0.0,1620,1619.5891017880058,0.0002537052216149416,0.010241830363425559,True
229,-6.661338147750939e-15,0.0,0.0,1685,1685.0041545387357,-2.4655955443986244e-06,-0.00010153659715644297,True
230,-6.661338147750939e-15,0.0,0.0,1759,1759.834553698689,-0.0004742228165340867,-0.019960942414993334,True
231,-6.661338147750939e-15,0.0,0.0,1847,1846.525572985207,0.00025692956638878606,0.011079667593360388,True
232,-6.661338147750939e-15,0.0,0.0,1949,1948.5149400369555,0.0002489382827288722,0.01102969852728971,True
233,2.6867397195928788e-14,0.0,0.0,2070,2070.8194056710054,-0.0003956915164892161,-0.01807798529402184,True
234,-6.661338147750939e-15,0.0,0.0,2222,2221.1102651317487,0.00040058113377750004,0.018959341474596283,True
