bin,frequency_hz,power_linear,power_dbfs,classification,folded_harmonic_order,is_fundamental,is_largest_spur
19999,610321.044921875,9.384144938298909e-12,-111.87473140246674,noise,,0,0
20000,610351.5625,7.639878336819494e-40,-392.7678140449445,noise,,0,0
20001,610382.080078125,2.6371720067125257e-11,-107.38729389984046,noise,,0,0
20002,610412.59765625,7.330451102421097e-40,-392.9473714594883,noise,,0,0
20003,610443.115234375,6.347525845049958e-12,-113.57263369238066,noise,,0,0
20004,610473.6328125,1.3596716946065027e-39,-390.2643379051145,noise,,0,0
20005,610504.150390625,1.7322860551970997e-07,-69.21248237739343,noise,,0,0
20006,610534.66796875,1.918226904458734e-39,-388.76967869114105,noise,,0,0
20007,610565.185546875,3.929164829904268e-09,-85.65567599085965,noise,,0,0
20008,610595.703125,2.253554060862553e-40,-398.0699986620202,noise,,0,0
20009,610626.220703125,3.7021127093245535e-10,-95.91418210554507,noise,,0,0
20010,610656.73828125,3.081865175295168e-39,-386.710542117063,noise,,0,0
20011,610687.255859375,4.466268916562913e-10,-95.09922978454924,noise,,0,0
20012,610717.7734375,1.4264299660274339e-39,-390.0561739329679,noise,,0,0
20013,610748.291015625,1.5129160104345295e-09,-89.80053028267854,noise,,0,0
20014,610778.80859375,1.5919937420713928e-39,-389.57926490844943,noise,,0,0
20015,610809.326171875,5.0644473252987067e-11,-104.55335788643902,noise,,0,0
20016,610839.84375,5.6421292704184995e-40,-394.0842481476165,noise,,0,0
20017,610870.361328125,6.971652298471861e-10,-93.16532127951876,noise,,0,0
20018,610900.87890625,2.8931574742442945e-39,-386.98495774200177,noise,,0,0
20019,610931.396484375,1.5911448206204387e-10,-99.58158137632032,noise,,0,0
20020,610961.9140625,1.5248344315959816e-39,-389.7664515708051,noise,,0,0
20021,610992.431640625,9.729338651781458e-11,-101.7178452682869,noise,,0,0
20022,611022.94921875,4.942962011313061e-42,-414.65880574349876,noise,,0,0
20023,611053.466796875,1.9411904919829014e-10,-98.71799691633262,noise,,0,0
20024,611083.984375,6.4148416527174975e-40,-393.5268190659982,noise,,0,0
20025,611114.501953125,3.932938848350095e-11,-105.65150653296747,noise,,0,0
20026,611145.01953125,2.0551090460565755e-39,-388.47032976187444,noise,,0,0
20027,611175.537109375,2.444770255535892e-11,-107.7162979403827,noise,,0,0
20028,611206.0546875,1.5404378562591435e-39,-389.7222366422417,noise,,0,0
20029,611236.572265625,3.314631664650983e-12,-116.3943257223934,noise,,0,0
20030,611267.08984375,1.4030848422783152e-39,-390.1278391418305,noise,,0,0
20031,611297.607421875,1.952115719532551e-11,-108.69362288441795,noise,,0,0
20032,611328.125,3.354168914887965e-41,-406.3428291733873,noise,,0,0
20033,611358.642578125,1.3115842463672955e-10,-100.42071655439278,noise,,0,0
20034,611389.16015625,2.5817414204171836e-39,-387.479551046345,noise,,0,0
20035,611419.677734375,2.026961376413891e-12,-118.5302237376716,noise,,0,0
20036,611450.1953125,1.4232866462798942e-39,-390.065754724047,noise,,0,0
20037,611480.712890625,1.719219916677081e-11,-109.24536413401145,noise,,0,0
20038,611511.23046875,1.070540355029647e-39,-391.30264804012916,noise,,0,0
20039,611541.748046875,2.724164203065164e-11,-107.24634565314435,noise,,0,0
20040,611572.265625,1.6204702698896173e-39,-389.5022677947585,noise,,0,0
20041,611602.783203125,1.6487373768016919e-12,-119.42716363606442,noise,,0,0
20042,611633.30078125,2.3149834338737486e-39,-387.95319959558446,noise,,0,0
20043,611663.818359375,8.815714066982678e-12,-112.1461035146796,noise,,0,0
20044,611694.3359375,4.724795416783415e-39,-384.85484838752177,noise,,0,0
20045,611724.853515625,7.634772757077824e-12,-112.77071731936651,noise,,0,0
20046,611755.37109375,2.7002273736635855e-40,-397.2846751146329,noise,,0,0
20047,611785.888671875,1.0465865652712994e-11,-111.40092691565654,noise,,0,0
20048,611816.40625,4.346168253957719e-40,-395.2176131186578,noise,,0,0
20049,611846.923828125,1.1317443598115945e-11,-111.06119508280307,noise,,0,0
20050,611877.44140625,1.1628397524669682e-39,-390.9434797708848,noise,,0,0
20051,611907.958984375,2.946919261129673e-11,-106.90499609758487,noise,,0,0
20052,611938.4765625,7.030515769344086e-39,-383.12880660399406,noise,,0,0
20053,611968.994140625,1.4718885688102285e-11,-109.9199291466082,noise,,0,0
20054,611999.51171875,1.2602918140374864e-39,-390.5939673169494,noise,,0,0
20055,612030.029296875,3.084108230177348e-11,-106.70738236810911,noise,,0,0
20056,612060.546875,7.759376076263298e-39,-382.70041045619143,noise,,0,0
20057,612091.064453125,4.415256913803654e-11,-105.14911867831074,noise,,0,0
20058,612121.58203125,2.1565575790072927e-38,-378.26106789010635,noise,,0,0
20059,612152.099609375,9.430608350059603e-12,-111.85328137965826,noise,,0,0
20060,612182.6171875,3.773236133677374e-39,-385.83153862367556,noise,,0,0
20061,612213.134765625,5.678211701863201e-11,-104.05656266715859,noise,,0,0
20062,612243.65234375,3.4855371512321486e-39,-386.1759813098859,noise,,0,0
20063,612274.169921875,6.032566096368679e-12,-113.79365758097995,noise,,0,0
20064,612304.6875,2.6818378496754146e-38,-377.3143533126531,noise,,0,0
20065,612335.205078125,2.661860072739779e-11,-107.34682625117773,noise,,0,0
20066,612365.72265625,3.171724477698452e-37,-366.58572393230196,noise,,0,0
20067,612396.240234375,1.4211748339009968e-12,-120.07220338674023,noise,,0,0
20068,612426.7578125,2.0525891994896996e-37,-368.4756580773012,noise,,0,0
20069,612457.275390625,4.851493361497977e-11,-104.7399240563879,noise,,0,0
20070,612487.79296875,1.625378635582126e-37,-369.4891330012277,noise,,0,0
20071,612518.310546875,1.3946968120276136e-11,-110.15388038891041,noise,,0,0
20072,612548.828125,8.584825065751444e-37,-362.26136397188276,noise,,0,0
20073,612579.345703125,6.229151100285128e-12,-113.65438981425658,noise,,0,0
20074,612609.86328125,5.9214290454547087e-36,-353.874413174541,noise,,0,0
20075,612640.380859375,6.875305444311341e-12,-113.22575850069211,noise,,0,0
20076,612670.8984375,1.4961630989935618e-37,-369.8488890788768,noise,,0,0
20077,612701.416015625,1.2745122040850838e-11,-110.54523848682783,noise,,0,0
20078,612731.93359375,3.386686775273651e-38,-376.3009281521341,noise,,0,0
20079,612762.451171875,5.171440642772873e-12,-114.46256302828225,noise,,0,0
20080,612792.96875,7.619820008154724e-40,-392.7792313433412,noise,,0,0
20081,612823.486328125,1.991066393618267e-12,-118.60782104944973,noise,,0,0
20082,612854.00390625,3.7722763152371865e-38,-375.8326435025218,noise,,0,0
20083,612884.521484375,1.1634110593497993e-11,-110.94134659220587,noise,,0,0
20084,612915.0390625,5.8800186976975655e-40,-393.9048914001405,noise,,0,0
20085,612945.556640625,6.080139832633714e-12,-113.75954279687778,noise,,0,0
20086,612976.07421875,2.5387201670516017e-38,-377.5525301412076,noise,,0,0
20087,613006.591796875,6.803097373244257e-11,-103.27161159997937,noise,,0,0
20088,613037.109375,1.0384761548034537e-39,-391.43471318254353,noise,,0,0
20089,613067.626953125,7.537030475322388e-11,-102.82667575785538,noise,,0,0
20090,613098.14453125,6.293484931224799e-38,-373.6097665040927,noise,,0,0
20091,613128.662109375,1.4576523022362184e-11,-109.96213904200016,noise,,0,0
20092,613159.1796875,1.9509492450014075e-39,-388.69621875956653,noise,,0,0
20093,613189.697265625,1.803343318107263e-12,-119.03789432091861,noise,,0,0
