timestamp_utc,process_count,total_threads,total_rss_kb,pids
2026-07-25T13:36:36.951500+00:00,0,0,0,
2026-07-25T13:44:43.563699+00:00,4,16,115176,1577495;1577529;1577556;1577583
2026-07-25T13:44:45.565815+00:00,4,16,127420,1577495;1577529;1577556;1577583
2026-07-25T13:44:47.568502+00:00,4,16,156796,1577495;1577529;1577556;1577583
2026-07-25T13:44:49.571054+00:00,4,16,163356,1577495;1577529;1577556;1577583
2026-07-25T13:44:51.573525+00:00,4,16,169996,1577495;1577529;1577556;1577583
2026-07-25T13:44:53.576155+00:00,4,16,192328,1577495;1577529;1577556;1577583
2026-07-25T13:44:55.578261+00:00,4,16,201988,1577495;1577529;1577556;1577583
2026-07-25T13:44:57.580811+00:00,4,16,211708,1577495;1577529;1577556;1577583
2026-07-25T13:44:59.583005+00:00,4,16,221488,1577495;1577529;1577556;1577583
2026-07-25T13:45:01.585467+00:00,4,16,231148,1577495;1577529;1577556;1577583
2026-07-25T13:45:03.587435+00:00,4,16,240868,1577495;1577529;1577556;1577583
2026-07-25T13:45:05.590151+00:00,4,16,257212,1577495;1577529;1577556;1577583
2026-07-25T13:45:07.592873+00:00,4,16,274800,1577495;1577529;1577556;1577583
2026-07-25T13:45:09.594407+00:00,4,16,285384,1577495;1577529;1577556;1577583
2026-07-25T13:45:11.596940+00:00,4,16,296832,1577495;1577529;1577556;1577583
2026-07-25T13:45:13.598936+00:00,4,16,308712,1577495;1577529;1577556;1577583
2026-07-25T13:45:15.601036+00:00,4,16,320088,1577495;1577529;1577556;1577583
2026-07-25T13:45:17.603902+00:00,4,16,331464,1577495;1577529;1577556;1577583
2026-07-25T13:45:19.606346+00:00,4,16,342840,1577495;1577529;1577556;1577583
2026-07-25T13:45:21.608452+00:00,4,16,354792,1577495;1577529;1577556;1577583
2026-07-25T13:45:23.611094+00:00,4,16,366528,1577495;1577529;1577556;1577583
2026-07-25T13:45:25.613506+00:00,4,16,377904,1577495;1577529;1577556;1577583
2026-07-25T13:45:27.616337+00:00,4,16,389280,1577495;1577529;1577556;1577583
2026-07-25T13:45:29.618433+00:00,4,16,400872,1577495;1577529;1577556;1577583
2026-07-25T13:45:31.620587+00:00,4,16,412320,1577495;1577529;1577556;1577583
2026-07-25T13:45:33.623024+00:00,4,16,424200,1577495;1577529;1577556;1577583
2026-07-25T13:45:35.625096+00:00,4,16,435216,1577495;1577529;1577556;1577583
2026-07-25T13:45:37.628241+00:00,4,16,445656,1577495;1577529;1577556;1577583
2026-07-25T13:45:39.629371+00:00,4,16,457176,1577495;1577529;1577556;1577583
2026-07-25T13:45:41.631858+00:00,4,16,468840,1577495;1577529;1577556;1577583
2026-07-25T13:45:43.634700+00:00,4,16,480576,1577495;1577529;1577556;1577583
2026-07-25T13:45:45.637291+00:00,4,16,491736,1577495;1577529;1577556;1577583
2026-07-25T13:45:47.639524+00:00,4,16,501664,1577495;1577529;1577556;1577583
2026-07-25T13:45:49.641878+00:00,4,16,303968,1577529;1577556;1578010;1578043
2026-07-25T13:45:51.645160+00:00,4,16,110416,1578010;1578043;1578070;1578104
2026-07-25T13:45:53.647699+00:00,4,16,121680,1578010;1578043;1578070;1578104
2026-07-25T13:45:55.650156+00:00,4,16,142976,1578010;1578043;1578070;1578104
2026-07-25T13:45:57.652693+00:00,4,16,160300,1578010;1578043;1578070;1578104
2026-07-25T13:45:59.654819+00:00,4,16,166900,1578010;1578043;1578070;1578104
2026-07-25T13:46:01.657315+00:00,4,16,177468,1578010;1578043;1578070;1578104
2026-07-25T13:46:03.659837+00:00,4,16,197372,1578010;1578043;1578070;1578104
2026-07-25T13:46:05.661889+00:00,4,16,206492,1578010;1578043;1578070;1578104
2026-07-25T13:46:07.664768+00:00,4,16,215312,1578010;1578043;1578070;1578104
2026-07-25T13:46:09.665295+00:00,4,16,225212,1578010;1578043;1578070;1578104
2026-07-25T13:46:11.667841+00:00,4,16,234992,1578010;1578043;1578070;1578104
2026-07-25T13:46:13.670257+00:00,4,16,248412,1578010;1578043;1578070;1578104
2026-07-25T13:46:15.672331+00:00,4,16,269176,1578010;1578043;1578070;1578104
2026-07-25T13:46:17.675111+00:00,4,16,280696,1578010;1578043;1578070;1578104
2026-07-25T13:46:19.677666+00:00,4,16,292432,1578010;1578043;1578070;1578104
2026-07-25T13:46:21.680104+00:00,4,16,304312,1578010;1578043;1578070;1578104
2026-07-25T13:46:23.682617+00:00,4,16,315832,1578010;1578043;1578070;1578104
2026-07-25T13:46:25.685109+00:00,4,16,327136,1578010;1578043;1578070;1578104
2026-07-25T13:46:27.687624+00:00,4,16,338440,1578010;1578043;1578070;1578104
2026-07-25T13:46:29.690085+00:00,4,16,349456,1578010;1578043;1578070;1578104
2026-07-25T13:46:31.692559+00:00,4,16,361408,1578010;1578043;1578070;1578104
2026-07-25T13:46:33.694954+00:00,4,16,373216,1578010;1578043;1578070;1578104
2026-07-25T13:46:35.697333+00:00,4,16,384520,1578010;1578043;1578070;1578104
2026-07-25T13:46:37.700509+00:00,4,16,395968,1578010;1578043;1578070;1578104
2026-07-25T13:46:39.701677+00:00,4,16,407128,1578010;1578043;1578070;1578104
2026-07-25T13:46:41.704043+00:00,4,16,418936,1578010;1578043;1578070;1578104
2026-07-25T13:46:43.706213+00:00,4,16,430960,1578010;1578043;1578070;1578104
2026-07-25T13:46:45.708250+00:00,4,16,442336,1578010;1578043;1578070;1578104
2026-07-25T13:46:47.710663+00:00,4,16,453784,1578010;1578043;1578070;1578104
2026-07-25T13:46:49.712743+00:00,4,16,465736,1578010;1578043;1578070;1578104
2026-07-25T13:46:51.715217+00:00,4,16,477400,1578010;1578043;1578070;1578104
2026-07-25T13:46:53.717638+00:00,4,16,488416,1578010;1578043;1578070;1578104
2026-07-25T13:46:55.720258+00:00,4,16,499504,1578010;1578043;1578070;1578104
2026-07-25T13:46:57.722476+00:00,4,16,406408,1578043;1578070;1578104;1578549
2026-07-25T13:46:59.725715+00:00,4,16,107424,1578549;1578576;1578610;1578637
2026-07-25T13:47:01.728181+00:00,4,16,116308,1578549;1578576;1578610;1578637
2026-07-25T13:47:03.730254+00:00,4,16,129760,1578549;1578576;1578610;1578637
2026-07-25T13:47:05.732960+00:00,4,16,157144,1578549;1578576;1578610;1578637
2026-07-25T13:47:07.735733+00:00,4,16,163064,1578549;1578576;1578610;1578637
2026-07-25T13:47:09.736098+00:00,4,16,169544,1578549;1578576;1578610;1578637
2026-07-25T13:47:11.738439+00:00,4,16,188128,1578549;1578576;1578610;1578637
2026-07-25T13:47:13.743986+00:00,4,16,201216,1578549;1578576;1578610;1578637
2026-07-25T13:47:15.747100+00:00,4,16,210216,1578549;1578576;1578610;1578637
